GeneID	Chromosome	Gene_Start	Gene_End	Best_SNP	Best_SNP_Position	Best_P_Value	N_Phenotypes	Phenotypes	All_SNPs	N_SNPs	P_Values
SORBI_3001G384600	1	67201155	67205912	SNP_67183097	67183097	6.59E-11	9	PC(16:0_20:3); PC(16:0_22:5); PC(16:0_22:6); PC(18:1_20:1); PC(18:1_24:1); PC(18:2_20:0); PC(18:3_0:0); PE(16:0_18:1); Ubidecarenone	SNP_67180575; SNP_67181243; SNP_67181250; SNP_67181286; SNP_67181294; SNP_67181298; SNP_67181383; SNP_67181415; SNP_67181424; SNP_67181489; SNP_67181498; SNP_67181504; SNP_67181506; SNP_67181655; SNP_67181993; SNP_67182000; SNP_67182010; SNP_67182021; SNP_67182138; SNP_67182272; SNP_67182298; SNP_67182579; SNP_67183097; SNP_67183429; SNP_67183549; SNP_67183732; SNP_67183749; SNP_67183958; SNP_67183991; SNP_67183999; SNP_67184283; SNP_67184296; SNP_67184301; SNP_67184303; SNP_67184383; SNP_67184926; SNP_67185318; SNP_67185364; SNP_67185375; SNP_67185383; SNP_67185388; SNP_67185433; SNP_67185441; SNP_67185446; SNP_67185475; SNP_67185523; SNP_67185583; SNP_67185630; SNP_67185634; SNP_67185696; SNP_67185710; SNP_67185743; SNP_67185790; SNP_67185839; SNP_67186659; SNP_67186760; SNP_67186786; SNP_67187124; SNP_67187137; SNP_67187164; SNP_67187166; SNP_67187185; SNP_67187382; SNP_67187782; SNP_67188307; SNP_67188333; SNP_67188368; SNP_67188434; SNP_67188447; SNP_67189404; SNP_67187552; SNP_67181391; SNP_67197730; SNP_67199725; SNP_67187084; SNP_67189316; SNP_67192512; SNP_67195363; SNP_67180620; SNP_67181280; SNP_67181281; SNP_67181282; SNP_67181344; SNP_67181346; SNP_67181363; SNP_67181385; SNP_67181438; SNP_67181448; SNP_67181459; SNP_67181526; SNP_67181530; SNP_67181611; SNP_67181662; SNP_67182189; SNP_67182775; SNP_67182848; SNP_67183121; SNP_67183405; SNP_67183442; SNP_67183562; SNP_67184005; SNP_67184130; SNP_67184131; SNP_67184244; SNP_67184439; SNP_67184522; SNP_67184549; SNP_67184812; SNP_67184844; SNP_67184912; SNP_67184934; SNP_67184957; SNP_67185098; SNP_67185210; SNP_67185221; SNP_67185228; SNP_67185757; SNP_67185795; SNP_67186325; SNP_67186868; SNP_67187012; SNP_67187048; SNP_67187237; SNP_67187428; SNP_67187577; SNP_67187636; SNP_67187858; SNP_67187874; SNP_67187933; SNP_67187948; SNP_67188318; SNP_67188506; SNP_67188570; SNP_67188844; SNP_67189182; SNP_67189285; SNP_67189297; SNP_67189354; SNP_67189621	139	2.0e-08; 5.7e-09; 7.8e-08; 6.4e-08; 6.6e-11; 3.3e-08; 3.2e-08; 4.7e-09; 7.2e-10
SORBI_3001G311900	1	59876279	59879288	SNP_59868816	59868816	5.25E-10	9	AEG(o-16:2_18:2); DG(18:0_18:2_0:0); PC(14:0_18:0); PC(14:0_18:2); PC(16:0_16:0); PC(16:0_22:6); PC(18:3_0:0); PE(18:0_18:3); PE(18:1_18:1)	SNP_59868816; SNP_59856369; SNP_59887350; SNP_59891863; SNP_59892708; SNP_59894419; SNP_59894800; SNP_59894879; SNP_59895668; SNP_59896291; SNP_59896831; SNP_59898196; SNP_59890105; SNP_59864720; SNP_59880894	15	8.1e-08; 5.3e-09; 7.0e-10; 2.1e-08; 2.0e-08; 1.4e-08; 9.3e-09; 5.3e-10; 3.8e-08
SORBI_3001G312000	1	59881970	59882463	SNP_59868816	59868816	5.25E-10	9	AEG(o-16:2_18:2); DG(18:0_18:2_0:0); PC(14:0_18:0); PC(14:0_18:2); PC(16:0_16:0); PC(16:0_22:6); PC(18:3_0:0); PE(18:0_18:3); PE(18:1_18:1)	SNP_59868816; SNP_59887350; SNP_59891863; SNP_59892708; SNP_59894419; SNP_59894800; SNP_59894879; SNP_59895668; SNP_59896291; SNP_59896831; SNP_59898196; SNP_59890105; SNP_59864720; SNP_59880894	14	8.1e-08; 5.3e-09; 7.0e-10; 2.1e-08; 2.0e-08; 1.4e-08; 9.3e-09; 5.3e-10; 3.8e-08
SORBI_3001G312100	1	59886130	59886629	SNP_59868816	59868816	5.25E-10	9	AEG(o-16:2_18:2); DG(18:0_18:2_0:0); PC(14:0_18:0); PC(14:0_18:2); PC(16:0_16:0); PC(16:0_22:6); PC(18:3_0:0); PE(18:0_18:3); PE(18:1_18:1)	SNP_59868816; SNP_59887350; SNP_59891863; SNP_59892708; SNP_59894419; SNP_59894800; SNP_59894879; SNP_59895668; SNP_59896291; SNP_59896831; SNP_59898196; SNP_59890105; SNP_59864720; SNP_59880894	14	8.1e-08; 5.3e-09; 7.0e-10; 2.1e-08; 2.0e-08; 1.4e-08; 9.3e-09; 5.3e-10; 3.8e-08
SORBI_3001G312200	1	59888793	59889404	SNP_59868816	59868816	5.25E-10	9	AEG(o-16:2_18:2); DG(18:0_18:2_0:0); PC(14:0_18:0); PC(14:0_18:2); PC(16:0_16:0); PC(16:0_22:6); PC(18:3_0:0); PE(18:0_18:3); PE(18:1_18:1)	SNP_59868816; SNP_59887350; SNP_59891863; SNP_59892708; SNP_59894419; SNP_59894800; SNP_59894879; SNP_59895668; SNP_59896291; SNP_59896831; SNP_59898196; SNP_59890105; SNP_59864720; SNP_59880894	14	8.1e-08; 5.3e-09; 7.0e-10; 2.1e-08; 2.0e-08; 1.4e-08; 9.3e-09; 5.3e-10; 3.8e-08
SORBI_3001G312300	1	59892663	59893187	SNP_59868816	59868816	5.25E-10	9	AEG(o-16:2_18:2); DG(18:0_18:2_0:0); PC(14:0_18:0); PC(14:0_18:2); PC(16:0_16:0); PC(16:0_22:6); PC(18:3_0:0); PE(18:0_18:3); PE(18:1_18:1)	SNP_59868816; SNP_59887350; SNP_59891863; SNP_59892708; SNP_59894419; SNP_59894800; SNP_59894879; SNP_59895668; SNP_59896291; SNP_59896831; SNP_59898196; SNP_59890105; SNP_59880894	13	8.1e-08; 5.3e-09; 7.0e-10; 2.1e-08; 2.0e-08; 1.4e-08; 9.3e-09; 5.3e-10; 3.8e-08
SORBI_3007G017800	7	1532201	1536645	SNP_1552144	1552144	7.34E-10	9	TG(16:1_16:1_22:5); TG(18:0_18:2_18:3); TG(18:0_18:2_20:1); TG(18:1_18:1_18:1); TG(18:1_18:1_20:3); TG(18:1_18:2_18:2); TG(18:1_18:2_18:3); TG(18:2_18:2_22:1); TG(18:2_18:3_20:1)	SNP_1551967; SNP_1552144; SNP_1552685; SNP_1552607; SNP_1552619; SNP_1553304; SNP_1552094; SNP_1552097; SNP_1552122; SNP_1552928; SNP_1552954; SNP_1552955; SNP_1552973; SNP_1552980; SNP_1552985; SNP_1552999; SNP_1553000; SNP_1553043; SNP_1553141; SNP_1553152; SNP_1553153; SNP_1553161; SNP_1553170; SNP_1553173; SNP_1553207; SNP_1553210; SNP_1553211; SNP_1553221; SNP_1553223; SNP_1553243; SNP_1553267; SNP_1553268; SNP_1553269; SNP_1553281; SNP_1553288; SNP_1553297; SNP_1553848; SNP_1553920; SNP_1553921	39	5.3e-08; 7.3e-08; 7.1e-09; 8.2e-08; 1.2e-08; 2.4e-08; 7.1e-09; 1.6e-08; 7.3e-10
SORBI_3007G017900	7	1547514	1548648	SNP_1552144	1552144	7.34E-10	9	TG(16:1_16:1_22:5); TG(18:0_18:2_18:3); TG(18:0_18:2_20:1); TG(18:1_18:1_18:1); TG(18:1_18:1_20:3); TG(18:1_18:2_18:2); TG(18:1_18:2_18:3); TG(18:2_18:2_22:1); TG(18:2_18:3_20:1)	SNP_1551967; SNP_1552144; SNP_1552685; SNP_1552607; SNP_1552619; SNP_1553304; SNP_1552094; SNP_1552097; SNP_1552122; SNP_1552928; SNP_1552954; SNP_1552955; SNP_1552973; SNP_1552980; SNP_1552985; SNP_1552999; SNP_1553000; SNP_1553043; SNP_1553141; SNP_1553152; SNP_1553153; SNP_1553161; SNP_1553170; SNP_1553173; SNP_1553207; SNP_1553210; SNP_1553211; SNP_1553221; SNP_1553223; SNP_1553243; SNP_1553267; SNP_1553268; SNP_1553269; SNP_1553281; SNP_1553288; SNP_1553297; SNP_1553848; SNP_1553920; SNP_1553921	39	5.3e-08; 7.3e-08; 7.1e-09; 8.2e-08; 1.2e-08; 2.4e-08; 7.1e-09; 1.6e-08; 7.3e-10
SORBI_3007G018000	7	1554396	1555756	SNP_1552144	1552144	7.34E-10	9	TG(16:1_16:1_22:5); TG(18:0_18:2_18:3); TG(18:0_18:2_20:1); TG(18:1_18:1_18:1); TG(18:1_18:1_20:3); TG(18:1_18:2_18:2); TG(18:1_18:2_18:3); TG(18:2_18:2_22:1); TG(18:2_18:3_20:1)	SNP_1551967; SNP_1552144; SNP_1552685; SNP_1552607; SNP_1552619; SNP_1553304; SNP_1552094; SNP_1552097; SNP_1552122; SNP_1552928; SNP_1552954; SNP_1552955; SNP_1552973; SNP_1552980; SNP_1552985; SNP_1552999; SNP_1553000; SNP_1553043; SNP_1553141; SNP_1553152; SNP_1553153; SNP_1553161; SNP_1553170; SNP_1553173; SNP_1553207; SNP_1553210; SNP_1553211; SNP_1553221; SNP_1553223; SNP_1553243; SNP_1553267; SNP_1553268; SNP_1553269; SNP_1553281; SNP_1553288; SNP_1553297; SNP_1553848; SNP_1553920; SNP_1553921	39	5.3e-08; 7.3e-08; 7.1e-09; 8.2e-08; 1.2e-08; 2.4e-08; 7.1e-09; 1.6e-08; 7.3e-10
SORBI_3009G021700	9	1942720	1944208	SNP_1931376	1931376	3.69E-14	8	PC(18:1_20:4); PC(18:2_20:4); TG(12:0_16:0_16:0); TG(14:0_14:0_16:1); TG(14:0_14:0_18:0); TG(14:0_16:1_22:6); TG(14:0_18:3_18:3); TG(16:0_18:1_20:0)	SNP_1931376; SNP_1931344; SNP_1945827; SNP_1932704; SNP_1937520	5	1.2e-09; 3.7e-14; 2.4e-10; 4.7e-08; 2.4e-10; 9.7e-08; 1.5e-10; 5.5e-08
SORBI_3009G021800	9	1949352	1950024	SNP_1931376	1931376	3.69E-14	8	PC(18:1_20:4); PC(18:2_20:4); TG(12:0_16:0_16:0); TG(14:0_14:0_16:1); TG(14:0_14:0_18:0); TG(14:0_16:1_22:6); TG(14:0_18:3_18:3); TG(16:0_18:1_20:0)	SNP_1931376; SNP_1931344; SNP_1945827; SNP_1932704; SNP_1937520	5	1.2e-09; 3.7e-14; 2.4e-10; 4.7e-08; 2.4e-10; 9.7e-08; 1.5e-10; 5.5e-08
SORBI_3009G021900	9	1949362	1953233	SNP_1931376	1931376	3.69E-14	8	PC(18:1_20:4); PC(18:2_20:4); TG(12:0_16:0_16:0); TG(14:0_14:0_16:1); TG(14:0_14:0_18:0); TG(14:0_16:1_22:6); TG(14:0_18:3_18:3); TG(16:0_18:1_20:0)	SNP_1931376; SNP_1931344; SNP_1945827; SNP_1932704; SNP_1937520	5	1.2e-09; 3.7e-14; 2.4e-10; 4.7e-08; 2.4e-10; 9.7e-08; 1.5e-10; 5.5e-08
SORBI_3001G311601	1	59842901	59843842	SNP_59868816	59868816	5.25E-10	8	AEG(o-16:2_18:2); DG(18:0_18:2_0:0); PC(14:0_18:0); PC(14:0_18:2); PE(16:0_18:2); PE(16:0_18:3); PE(18:0_18:3); PE(18:1_18:1)	SNP_59868816; SNP_59856369; SNP_59843709; SNP_59845337; SNP_59845596; SNP_59846425; SNP_59846841; SNP_59847430; SNP_59847874; SNP_59848128; SNP_59849052; SNP_59864720	12	8.1e-08; 5.3e-09; 8.3e-08; 1.1e-09; 5.4e-08; 4.9e-08; 5.3e-10; 3.8e-08
