"trait","n_snps","n_genes_in_rds"
"TG(12:0_12:0_16:1)",6106358,498
"TG(12:0_12:0_18:1)",6106358,273
"TG(12:0_12:0_18:2)",6106358,465
"TG(12:0_14:0_16:0)",6106358,53
"TG(12:0_14:0_18:1)",6106358,287
"TG(12:0_14:0_18:3)",6106358,2146
"TG(12:0_16:0_16:0)",6106358,42
"TG(12:0_16:0_18:1)",6106358,366
"TG(12:0_16:0_18:2)",6106358,551
"TG(12:0_16:0_18:3)",6106358,48
"TG(12:0_18:1_18:1)",6106358,301
"TG(12:0_18:1_18:2)",6106358,1034
"TG(12:0_18:1_18:3)",6106358,174
"TG(12:0_18:2_18:3)",6106358,92
"TG(14:0_14:0_16:0)",6106358,42
"TG(14:0_14:0_16:1)",6106358,287
"TG(14:0_14:0_18:0)",6106358,42
"TG(14:0_16:0_16:0)",6106358,54
"TG(14:0_16:0_18:1)",6106358,45
"TG(14:0_18:1_18:2)",6106358,25
"TG(14:0_18:1_18:3)",6106358,110
"TG(14:0_18:2_18:3)",6106358,144
"TG(14:0_18:3_18:3)",6106358,40
"TG(16:0_16:0_16:0)",6106358,1
"TG(16:0_16:0_18:1)",6106358,2810
"TG(16:0_16:0_18:2)",6106358,1045
"TG(16:0_16:0_20:1)",6106358,3674
"TG(16:0_18:0_18:2)",6106358,3366
"TG(16:0_18:1_18:1)",6106358,3515
"TG(16:0_18:1_18:2)",6106358,3645
"TG(16:0_18:1_18:3)",6106358,242
"TG(16:0_18:1_20:0)",6106358,2815
"TG(16:0_18:1_20:1)",6106358,3370
"TG(16:0_18:1_20:2)",6106358,2474
"TG(16:0_18:1_22:0)",6106358,43
"TG(16:0_18:1_22:1)",6106358,373
"TG(16:0_18:2_18:3)",6106358,216
"TG(16:0_18:3_18:3)",6106358,270
"TG(16:1_16:1_22:5)",6106358,189
"TG(16:1_18:1_18:1)",6106358,3098
"TG(16:1_20:1_20:2)",6106358,78
"TG(16:1_20:1_22:1)",6106358,88
"TG(18:0_18:0_20:1)",6106358,199
"TG(18:0_18:2_18:2)",6106358,3350
"TG(18:0_18:2_20:1)",6106358,421
"TG(18:0_18:2_22:0)",6106358,57
"TG(18:1_18:1_20:3)",6106358,56
"TG(18:1_18:2_18:2)",6106358,2388
"TG(18:1_18:2_18:3)",6106358,159
"TG(18:1_18:3_22:0)",6106358,140
"TG(18:1_20:0_22:1)",6106358,310
"TG(18:1_20:1_22:1)",6106358,376
"TG(18:1_20:3_22:0)",6106358,318
"TG(18:2_18:2_18:4)",6106358,432
"TG(18:2_18:2_20:2)",6106358,71
"TG(18:2_18:2_22:1)",6106358,231
"TG(18:2_18:3_20:3)",6106358,220
"TG(18:2_20:2_22:2)",6106358,132
"TG(18:2_20:3_21:0)",6106358,443
"TG(18:2_20:3_22:0)",6106358,236
"TG(18:2_22:0_22:3)",6106358,725
"TG(18:3_18:3_18:3)",6106358,501
"TG(8:0_16:1_18:1)",6106358,465
"trans-EKODE-(E)-Ib",6106358,1419
"Ubidecarenone",6106358,38
"Ubiquinone 9",6106358,5
"Vitamin K1",6106358,5
"Zeaxanthin",6106358,15
